COMPOUND,HMDB ID,KEGG ID,348 E,324 E,441 E,176 E,348 R,535 E,383 E,57 R,517 R,324 R,822 R,318 R,796 E,287 E,441 R,383 R,176 R,318 R,153 R,822 E,153 E,142 E,57 E,517 E,142 R,287 R,796 R,535 R,176 E,441 E,535 E,796 R,441 R,796 E,517 E,383 E,535 R,324 R,348 E,517 R,383 R,287 R,153 R,822 R,822 E,348 R,324 E,176 R,153 E,287 E,142 R,142 E,318 R,318 E
Deoxyguanosine,HMDB00085,C00330,142616,22009,77729,176057,175943,80262,132024,46610,94145,51783,37755,16745,67194,95733,119393,154800,171849,37468,175333,131827,150536,14375,74447,98347,N/A,28021,36085,59869,42712,37756,31102,N/A,57877,N/A,47527,83537,62102,26898,140453,47847,70536,42564,27813,20982,N/A,55474,N/A,53636,48795,17196,N/A,N/A,37626,46494
Adenosine,HMDB00050,C00212,25332962,6614868,68133045,21006511,24910785,24104591,27923305,13606646,6044860,13929767,7542427,9184745,31509254,26579957,23053080,33693406,13966602,10461136,17756516,8283629,18148140,2341759,16322074,13591571,1138905,7338383,12492377,13481031,2063603,860177,1217804,866488,1721774,577500,4446680,3893025,5336642,3181710,3325819,3916764,2395921,3516257,1002287,927942,1895230,3749701,3412380,10910605,2971453,3586897,1913356,837444,17080260,19309024
Inosine,HMDB00195,C00294,44476053,9633498,14718122,37061469,12326178,24090529,41214746,15092117,27726627,17359741,6848655,6206622,20537239,12741761,15393692,33031276,23315033,7293546,37542793,14194153,45515630,1691391,29053786,41703756,1750813,2241094,4446244,14299889,25397533,10954891,17936368,1507426,15826922,1850849,13066499,20240386,18695896,20670596,37544343,24345103,18898486,12439767,14435886,5181271,7578676,11378762,18812979,22434688,24918372,15533699,10614278,11365922,16014123,32623871
Glutarylcarnitine,HMDB13130,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1-Methyladenosine,HMDB03331,C02494,6504988,5212792,8723929,14232010,10031629,11622082,5740003,8177111,10183517,10666674,8969109,2928130,5250795,6869238,9026862,5011688,13369035,2808671,11001887,7665959,10539693,893876,5656419,10645624,894274,3735487,6261409,8575952,8397630,3835159,5312321,1086457,7323422,640084,3359835,3541409,9178433,9568973,8247593,7267586,3466107,6939876,5029666,5281720,4563911,3999737,6035265,6147376,5126102,4903800,2360172,1407517,5400173,5713354
6-Methyladenosine,HMDB04044,N/A,53831,33062,22506,46750,27970,24357,41506,16333,33266,35993,17707,8324,25129,16800,26785,20444,32647,9390,34869,24195,27408,N/A,21925,43075,N/A,19445,12851,14469,23871,N/A,17840,N/A,20814,N/A,39785,15862,44059,45486,32050,32339,19213,24926,12001,N/A,N/A,17656,31478,89502,20475,21023,15778,12537,33865,24397
Guanosine,HMDB00133,C00387,7466343,1298011,2611751,5941628,2767194,3370370,6138057,1977611,4014771,2696892,1524132,826066,3189639,2267811,2666621,5079381,4148682,1012424,6264978,3349842,7606246,298372,4540299,6581532,241102,562639,1114797,2218773,3190297,1359408,1656909,199622,1796412,266335,1720029,2593366,1974721,2149302,5087284,2740857,2522629,1695825,1819568,959481,1342935,1431774,2047613,2994829,3108891,1953005,1242699,1277956,1893110,3672419
Retinal,HMDB01358,C00376,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Retinol,HMDB00305,C19962,94963,77372,91685,98051,64401,82925,81115,75542,83340,75926,77603,72848,78697,73593,74938,76229,75482,77448,83350,80068,106921,74292,83741,93568,71526,83506,82553,79945,86526,86331,80023,78560,85819,78109,74933,94657,97284,91747,101930,80777,98038,85868,90127,89793,88033,84159,89755,85363,82053,91928,79425,93388,85059,92367
Argininosuccinate,HMDB00052,C03406,471403,96608,191554,317511,204815,345355,353146,386190,268572,188704,458779,86519,302896,253675,229768,312284,252874,108021,528928,921695,515385,46139,515444,340085,34203,64379,77833,199357,190049,96872,151950,12132,185371,19697,83284,159801,181620,202804,430937,199123,127137,182915,252530,299061,334280,120976,159378,205139,283004,219664,130507,114625,180007,387545
5'-Methylthioadenosine,HMDB01173,C00170,329520,582444,198819,290411,369223,206535,359784,147028,326342,176803,197359,102027,187347,260092,258397,274088,249703,108322,382063,265362,380441,161078,263036,284609,125778,1444661,118811,185190,336840,86951,390546,N/A,416996,91520,2564127,476584,2853194,1105727,413979,1234870,418122,988824,245431,311602,133965,311428,770168,6948624,221879,832848,466756,251754,1108965,200298
N2_N2-Dimethylguanosine,HMDB04824,N/A,80382,21635,101235,89493,129277,86923,130387,42907,83784,69982,63540,28037,81605,62125,167824,122784,73729,14258,251270,111726,202880,8530,52546,93917,N/A,27594,53642,68224,44498,47759,43510,N/A,76589,N/A,48636,51794,73755,55888,66798,63664,44486,34649,42571,32412,38364,53100,38037,91536,99117,38137,N/A,N/A,50151,46041
UMP,HMDB0000288,C00105,957212,299474,1228592,1174163,754147,1020887,1022838,888052,771814,496866,1191163,271441,874196,710250,1847765,1175309,2033527,779065,2436976,2390768,1284707,195577,885858,686318,100431,253504,291783,537989,331665,255006,249407,55468,396509,78720,372913,344084,407876,334956,414601,328375,355485,307260,293203,269738,470570,220857,240879,785512,684066,245775,300381,152263,624589,610577
cAMP,HMDB00058,C00575,28995,34467,N/A,N/A,29040,9234,38635,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42581,N/A,N/A,N/A,N/A,N/A,N/A,14550,N/A,57115,N/A,81477,30814,N/A,37804,N/A,26335,N/A,N/A,N/A,N/A,20897,167642,N/A,31133,N/A,N/A,46418,18991
GMP,HMDB01397,C00144,4318046,1522275,5045791,6981955,5000996,5634454,6299048,5168917,6498615,4527998,8425784,1176662,5411321,3159801,5923261,6155289,7287712,2223127,8666378,13516351,8119308,826164,5159241,5418155,513192,1320897,2370774,4703833,2020245,1867748,1813937,297606,3052057,324959,1682773,2020990,2348396,2279444,4132219,2970319,2185339,1923341,1441623,3591408,3464638,1524626,1368708,2944957,2884222,1327560,1146614,754695,2476865,1924793
Riboflavin,HMDB00244,C00255,92274,22181,63627,70231,191670,47529,81194,198578,147827,47960,46932,48189,45889,33561,62793,63199,72209,33503,166089,66182,159062,12714,129456,166392,2281,50314,94868,26754,42152,31425,58554,13742,55640,5081,45090,34234,75144,33751,84048,128879,31269,165147,41429,37135,19905,65706,18832,65375,46296,43181,54325,21769,194395,141976
SAH,HMDB0000939,C00021,428052,145601,288959,639924,281413,485594,569879,230435,290583,250709,233487,63686,247272,250472,315695,475750,453181,68468,540191,361637,430784,47978,291062,341884,35428,112092,99224,332327,267721,116543,236238,22133,255766,21813,203095,295653,387033,285283,464164,277160,239322,300790,164822,186796,163954,96227,204182,584904,251873,177317,126187,84189,220684,229947
Cholecalciferol,HMDB00876,C05443,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ergocalciferol,HMDB00900,C05441,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
S-Adenosylmethionine (SAM),HMDB01185,C00019,1189721,362448,1079327,2643797,1234275,1367521,2557841,1135487,1778606,1184143,1277116,224421,1024833,769428,1522380,2340889,2089223,285712,2955845,2194673,2824316,151729,1756116,2313064,85325,236069,403949,992311,598433,363328,461104,35720,704339,57289,313217,685968,452274,795933,1505476,902408,513523,519998,403316,447922,360849,240243,397575,769646,545486,291604,327810,134651,405304,673610
CDP,HMDB01546,C00112,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thiamine pyrophosphate,HMDB0001372,C00068,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Folic Acid,HMDB00121,C00504,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vitamin K1,HMDB03555,C02059,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Biliverdin,HMDB01008,C00500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NAD,HMDB00902,C00003,659709,276221,1356278,1593646,1481724,1546343,1088159,2114826,1683969,971326,2220007,403235,1112532,701655,1431350,1303562,1878581,534389,1806829,3537218,1441032,184446,1144106,1046009,118758,452606,948359,1656343,630472,637005,877379,129840,1082415,94235,425881,763420,1008546,609140,1027177,901016,582383,751053,559715,1098540,1008636,441298,323695,806792,694089,316239,371767,170529,848124,469799
Methylcobalamin,HMDB02274,C06453,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cyanocobalamin (Vitamin B12),HMDB00607,C02823,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NADPH,HMDB00221,C00005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thyroxine,HMDB00248,C01829,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FAD,HMDB01248,C00016,543484,134837,314244,553979,322600,361957,514371,371338,420215,350142,394671,123683,464050,236450,373748,535239,467457,144089,642764,621269,522493,66547,404406,501451,39128,84589,260618,378755,174968,120642,135588,17180,144414,22254,80983,168350,147584,193565,398337,253631,130361,107293,181151,201793,147436,98224,105858,155223,197644,99184,95416,75173,184729,197010
Adenosylcobalamin,HMDB02086,C00194,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ubiquinol,HMDB13111,C11378,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Malondialdehyde,HMDB06112,C19440,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycolic acid,HMDB00115,C00160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pyruvate,HMDB00243,C00022,433128,168713,354243,358865,249389,300092,328455,269745,275605,242469,479936,110369,379431,258012,433218,351007,354002,155173,344756,558287,491212,50576,525795,209036,28751,60587,138478,135058,221703,241953,280842,18954,363554,30437,99863,282147,288873,143381,640752,186024,296908,316413,430801,499720,826368,331320,484147,330303,582054,423581,298999,350278,212505,463228
Lactate,HMDB00190,C00186,12342253,5012419,7386808,20529787,4433445,7771215,16899112,8483405,17302205,11644436,11816419,3382627,13846569,11494686,11688279,17324577,14020637,2455462,21088089,17327300,20331882,1832664,13023799,23028314,1365706,2563124,4625749,6136207,15008494,5410263,7128937,687833,10658334,1137455,9054353,12587836,7604980,12235288,18594919,15541691,9609444,5345251,10689867,8839145,10736748,4884366,11468343,16384482,11093483,10198729,6545799,7691645,5006152,12259226
Glyceraldehyde,HMDB01051,C00577,784160,562837,262210,422679,651345,264683,887023,187792,547409,363774,369678,138142,372037,164679,178205,357398,285925,114815,478596,485424,383463,121774,626365,518507,82545,646179,122042,162246,496200,184320,334721,31787,417164,67973,1079641,428313,1126689,687433,609929,754958,387503,801769,305863,360527,377327,338121,627228,2347568,406256,557101,364680,250022,1015705,696476
3-Hydroxypropionic Acid,HMDB00700,C01013,448030,169410,1318303,1081652,195670,638551,742779,852934,758676,462325,737164,556950,1178160,791118,1601491,1207640,1410324,418538,955745,1194861,1368531,137676,1026330,1262340,147913,97130,596729,456376,585080,562244,213000,184295,979545,218922,270279,764213,262739,357183,666354,406924,618135,186689,559754,758629,1095940,148072,367271,347704,712162,494191,377675,472354,432362,1105898
isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid,HMDB00718/HMDB0001259,C08262/C00232/C00164,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-Oxobutyrate,HMDB00005,C00109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gamma-Aminobutyrate,HMDB0000112,C00334,56228,12489,43024,48821,43518,45219,45168,33577,48561,34165,42814,22500,34198,24532,42094,52948,51164,22966,62647,41748,73645,6616,33506,53850,6042,13300,24217,36794,34276,21102,22038,5251,37399,6853,17355,36480,26625,33144,47357,33426,31276,25895,25780,29519,25676,23810,19857,24318,39714,18295,20450,13589,39657,42313
Malonic Acid,HMDB00691,C00383,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3HBA,HMDB0000357,C01089,517665,139977,231928,390478,296538,360933,491409,304432,308527,236788,386957,152549,386406,274516,305918,506654,354057,192551,576970,520138,477282,121833,352638,349512,105383,126120,214755,275746,301904,151877,263829,95713,261427,86796,208845,306583,298985,193011,379158,223875,274890,170286,250576,233044,197475,212908,228100,335159,303193,203762,130134,192565,235655,366767
2-Hydroxyisobutyrate/2-Hydroxybutyrate,HMDB00729,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycerate,HMDB00139,C00258,255161,133201,259761,311810,106297,204620,251354,171296,240586,179496,212287,108567,162061,144699,186134,174879,207817,88946,218279,224403,250703,82276,208270,242833,102245,101332,93928,114080,260343,450949,108085,54609,430977,56702,170203,181456,199130,177734,227137,181427,147060,159055,128987,154014,214949,121254,142648,341257,225185,250820,259105,255600,159760,259373
Uracil,HMDB00300,C00106,4011111,1059195,2631399,3045803,1822265,2524426,3864970,1584974,3327156,2361672,4345733,1123514,2636157,1148597,4270983,3656806,3152382,621637,8543231,3589647,4298937,293750,2309249,4222995,292505,441900,1398351,2232223,3115133,1772802,1904225,235145,3951130,259683,1443097,2650344,2433358,2791478,4733120,2608992,2549464,1130901,4854910,3188021,2954180,1556129,2271810,3388808,3478112,1547888,1758273,1182436,1848964,3012050
Fumaric Acid,HMDB00134,C00122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maleic Acid,HMDB00176,C01384,169409,132086,83782,69580,136403,59393,99650,138694,93790,106886,108796,123640,69798,162328,112686,53600,119069,144848,93307,63706,114534,129197,92019,66831,162593,131475,138355,141375,173715,101944,184216,129260,98110,116274,151072,83045,175956,97803,78446,70062,135661,108231,109013,105366,67216,71271,117967,78850,125536,98085,86591,228449,150494,81378
N-AcetylGlycine,HMDB00532,N/A,97688,125035,92897,83113,90972,104001,94275,105305,89873,102737,87106,115702,81177,107776,87697,85986,90982,86362,70832,71666,65184,113562,98069,94338,113912,112940,105186,105137,103781,97350,64764,67460,50835,65451,63460,56160,68145,65965,56704,54249,51229,57047,58519,54105,63519,57744,108295,88016,46780,71965,65556,57340,54813,64196
Guanidinoacetate,HMDB00128,C00581,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-Hydroxyisovaleric Acid,HMDB00407,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Succinate,HMDB00254,C00042,12485805,5890026,11326535,24208995,8866166,8889053,12638274,10975356,17363896,8845268,17736951,5109430,10865616,8561514,14022074,12102478,22225133,5090515,23283644,24727366,18485921,2620517,10545067,16688600,2570384,6330581,6323579,10355000,16926000,8462744,5528811,1397472,13418981,1603460,10098285,8018446,9621786,9100485,14721318,15212567,6793218,7982883,10604852,11625962,9691306,4756669,5344735,21780515,11259299,5090109,6808175,3441174,9774364,8988243
Methylmalonate,HMDB00202,C02170,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-Hydroxyisovaleric Acid,HMDB00754,C20827,133195,55045,101881,122599,79281,73495,94015,63161,69253,73039,77101,78214,86959,82747,90563,88512,96434,74775,127627,141616,183102,67244,100085,120825,47372,64567,69263,101467,117636,83573,98229,69842,73665,52782,76822,73350,91511,69774,98929,78121,82028,68550,93168,91436,102405,72959,83005,103566,152996,73918,88399,93998,99292,113484
Erythrose,HMDB02649,C01796,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Threitol,HMDB04136,C16884,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nicotinic Acid,HMDB01488,C00253,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Picolinic Acid,HMDB0002243,C10164,484675,321268,211419,232827,271115,341092,367470,288857,290507,345862,361119,175142,239606,94659,107595,181350,148780,107966,206177,219580,398507,60834,567241,483665,55916,195635,105239,302387,409699,182721,442719,36540,387651,42083,258012,303531,661412,488491,604597,340747,237058,330457,287051,450212,425699,289970,425547,621341,422282,286448,243145,277623,520972,615258
Thymine,HMDB00262,C00178,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Citraconic Acid,HMDB00634,C02226,216108,232925,219363,172687,234387,194806,191263,207698,199317,181671,195646,245510,204997,226092,190835,187508,193712,232414,159955,165849,162859,246739,209315,163826,264375,231457,210393,184696,265146,224003,235349,191129,207691,216432,219160,165168,241619,194999,146925,189730,213057,223092,217588,184401,225317,184490,226222,222818,231500,181296,192264,236638,206885,185630
2-oxo-Isocaproic Acid,HMDB00695,C00233,4075527,2111932,1630410,4749963,2098967,2633914,5850472,1571720,2874668,3336538,3258103,1253607,3106839,3324921,1767568,5722194,3372151,1360599,3807950,2750278,3824040,721276,3009036,4275169,562980,1265522,2403709,3242397,5516496,2419072,3153286,323265,3010760,469804,2227124,4949173,3245523,3541342,5454107,4626096,4536180,2294113,4619077,4039884,4022985,2508489,2870430,4649552,4382367,3300100,2818718,2949488,1856337,3253069
Itaconic Acid,HMDB02092,C00490,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
