COMPOUND,HMDB ID,KEGG ID,348 E,324 E,441 E,176 E,348 R,535 E,383 E,57 R,517 R,324 R,822 R,318 R,796 E,287 E,441 R,383 R,176 R,318 R,153 R,822 E,153 E,142 E,57 E,517 E,142 R,287 R,796 R,535 R,176 E,441 E,535 E,796 R,441 R,796 E,517 E,383 E,535 R,324 R,348 E,517 R,383 R,287 R,153 R,822 R,822 E,348 R,324 E,176 R,153 E,287 E,142 R,142 E,318 R,318 E
5-Aminovaleric Acid,HMDB03355,C00431,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Betaine,HMDB00043,C00719,38347344,31931281,31943051,33057461,40829438,30356531,34128860,28422410,36012162,29641074,33542244,32536202,34285849,33572468,30028671,28662051,34410044,33797124,37420705,35311981,36786887,29545081,40512374,29046117,28024753,38361715,34879403,31627466,36176355,33663894,44723713,29878800,38315178,24175115,48022459,35309700,48352384,36977385,36984630,43068870,33194908,43338849,37053973,37155571,36246095,35291760,35688291,57427107,39064387,33844167,38819372,41291709,40186142,36008375
Valine,HMDB00883,C00183,5211817,2200900,5690240,7955009,2007286,4266575,8026979,3326456,4559747,6292662,3080944,1287538,4901041,3223488,8010096,9049791,5518034,1907299,7326850,4532771,9385130,1026175,3903670,8605814,792998,588325,1862802,2954231,5173457,2126169,1749295,391612,4011863,613111,1630829,5231230,1689464,5696699,4996038,2642423,4023816,1537683,3448428,2433998,3290317,935868,4853485,2637788,5002892,2379500,2693487,2489354,1746565,3976479
Indole,HMDB00738,C00463,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Threonine,HMDB00167,C00188,11992535,7292432,12105226,15125528,7310608,12391330,18782928,13308897,13754323,16882330,14827655,4309508,13584709,10284662,12869727,18370614,12418536,6080469,24426005,22817469,22943668,3261861,15512166,17447791,1934655,2799207,5197542,9257695,10909156,6980859,6851949,1208912,11350525,1650878,6635370,12713073,7549273,16404238,10468391,10758203,11254714,7342403,11020720,9870074,11159501,4226615,13376649,9523275,16104724,8104327,7903032,6692265,7859409,12251059
Cysteine,HMDB00574,C00097,414605,105876,230917,475019,288844,404566,572884,365188,450724,341247,336894,53974,295056,180040,256304,587652,465644,73312,687048,426484,646428,N/A,425926,636989,N/A,43583,141448,339300,385780,106930,168656,N/A,229054,N/A,70072,278506,211919,40882,277973,185659,268333,114756,191541,207986,244139,83520,179877,258065,315036,155739,182872,78863,137123,232671
Niacinamide,HMDB01406,C00153,9467,18169,7553,7935,7562,7439,11546,9245,6368,6926,6699,6636,7101,6333,6027,6643,8229,6832,11646,8109,11795,8526,5019,7828,5280,21625,5805,6841,22863,8659,24034,5790,21649,16792,86392,18518,133799,36595,13148,38734,19889,27955,10029,24522,10361,20152,37533,287450,17249,44457,21883,13115,18546,12578
Taurine,HMDB00251,C00245,688370,259825,964417,2044001,1236125,2184365,692465,1677320,486819,633684,1065961,336803,643603,571137,1268562,843040,2071384,307504,1245862,1093947,864545,179289,1594978,569323,82726,310973,567210,1868562,1239373,491822,1100514,109440,907596,84537,151149,376370,1034072,521671,850284,347154,368920,828519,413538,686215,691606,597776,433570,762288,521704,545025,261571,160608,555365,626541
1-Methylhistamine,HMDB00898,C05127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Imidazoleacetic Acid,HMDB02024,C02835,311244,335189,85698,50711,321761,84755,307237,47438,236841,154351,115179,62231,160429,45450,28679,75951,77323,53515,113843,135680,47591,85178,241992,73548,61975,400293,31969,24689,151615,49438,99995,11322,121970,42284,568562,159988,657620,390887,146046,324393,145409,251781,61877,115125,71291,172017,275522,1245381,66468,239023,144959,80600,449614,240104
