Sample Name,062618QPJ1,062618QPJ2,062618QPJ3,062618QPJ4,062618QPJ5,062618QPJ6,062618QPJ7,062618QPJ8,062618QPJ9,062618QPJ10,062618QPJ11,062618QPJ12,062618QPJ13,062618QPJ14,062618QPJ15,062618QPJ16,062618QPJ17,062618QPJ18,062618QPJ19,062618QPJ20,062618QPJ21,062618QPJ22,062618QPJ23,062618QPJ24,062618QPJ25
aminoimidazole carboxamide ribonucleotide,59934.20872,69342.17978,92299.09191,106807.9566,84348.73663,212198.033,311914.7292,170232.9346,115470.1706,268588.2715,441719.841,453672.5908,459928.3478,637333.5253,512496.0067,681428.9827,492775.3236,405432.8518,491733.4931,298606.8306,778677.6197,449196.9118,342284.2719,581130.6084,982904.765
thiamine-phosphate,129878.5768,129184.15,125006.3578,129821.0378,92570.80252,135587.1127,108735.3653,120773.6682,97090.0035,102995.4239,72142.20837,95506.89945,146990.2951,123017.5236,72479.02595,91082.25438,75580.29582,57821.41905,95508.62095,71739.04071,50582.2758,51097.50332,76023.13397,76812.29279,62485.77574
dGMP,N/A,5493.814641,6308.463241,N/A,7792.199943,N/A,6519.072792,16539.00154,11713.50196,N/A,13774.66617,N/A,N/A,9215.511176,4155.597073,16799.20119,13771.60284,6298.443695,N/A,10335.04638,11919.84233,N/A,N/A,N/A,3291.992371
AMP,6274010.878,5324537.636,4689460.759,4232731.584,4493652.076,3786935.344,3980435.211,5020245.728,3164027.591,5528444.559,2659807.807,2878593.059,3112919.402,3528087.442,2582577.236,2588987.473,2646767.499,2977194.811,3535458.021,3518879.687,3043811.806,3089559.63,2681964.537,3128832.167,3179230.442
IMP,2422205.498,2011102.07,2085516.81,1551104.326,1794453.656,930995.954,1198718.735,2167700.494,4362965.243,2129589.678,594124.331,973141.9907,696074.8502,1436314.371,1777882.016,3476002.507,746154.3263,1231711.977,862494.4594,1940047.668,1893968.127,433433.9738,493734.9,717259.9151,1326438.899
S-adenosyl-L-methioninamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GMP,593357.5816,494278.3718,567998.0171,574011.2532,532953.9433,264522.6615,408723.6089,355824.2226,447219.8217,463693.5801,176857.5151,206843.8439,224823.2413,261421.488,230502.3219,184961.1782,164725.1314,171609.1935,383987.0495,210284.7773,201780.8825,127468.8954,112118.031,154557.3256,211135.2456
xanthosine-5-phosphate,8445.123891,7601.371335,6755.064822,12668.87127,N/A,4221.061363,2533.822754,4266.561433,10134.96255,N/A,4219.401606,10134.64599,10134.82915,5901.142952,N/A,6757.608384,N/A,6755.122411,5911.127095,10131.31588,N/A,4221.157669,3377.555247,5913.227427,5067.54695
riboflavin,10840.65456,5023.874465,9022.341241,N/A,19318.09993,4239.105447,N/A,5814.334779,2464.98443,4266.354245,4230.955228,2531.202456,N/A,N/A,4400.370796,N/A,N/A,3295.517252,N/A,2475.277183,N/A,N/A,8411.746523,N/A,5949.698871
S-adenosyl-L-homoCysteine-posi,223814.1308,234512.9731,132594.4359,133670.2455,156919.5771,117380.7217,96322.12235,88722.22973,70095.97636,59924.29639,54316.39692,97955.75204,60749.16794,101311.2687,93574.8809,59115.98852,60808.70813,48138.65771,58388.54833,32042.10259,92905.35062,35474.7966,35516.86981,56611.72355,42247.7827
S-adenosyl-L-methionine,4761008.321,5409111.179,4115993.384,3964618.031,4073779.216,5873783.985,6474222.924,5490150.96,7164824.937,4894484.314,5436387.49,5652778.059,6083456.342,5925732.762,6077795.133,5567790.163,4315591.426,4220981.846,4419444.96,3946042.59,4068417.941,3017934.997,3011634.128,3378842.915,3705919.706
folate,13495.35623,24172.08314,29477.40064,19230.64054,38633.25157,17700.8768,18419.26608,19512.08841,23449.02762,12053.49784,15198.31121,18861.34606,31269.55059,49819.21124,43073.76821,22758.26797,48983.26906,28753.72946,28715.47872,17759.47824,31295.92656,29815.12332,14125.78232,20295.03196,19782.92444
"7,8-dihydrofolate",9181.503051,N/A,N/A,4120.112212,N/A,2533.849567,3396.082952,2531.05697,N/A,N/A,N/A,N/A,3327.180869,2533.674991,N/A,N/A,N/A,N/A,N/A,2533.793777,N/A,2533.679422,N/A,N/A,N/A
5-methyl-THF,28737.21075,13670.88213,28109.95099,18772.33735,13157.68392,38676.85966,32107.92421,50327.69912,52326.57952,20242.93674,57441.4974,77975.64045,50949.8435,26545.56034,31713.08901,41712.52723,37263.33836,11201.19441,51189.46222,46095.89313,42101.4104,20439.15091,36677.93672,10021.02848,34246.5113
Diiodothyronine,N/A,8435.178823,5067.420444,N/A,N/A,4280.036876,N/A,N/A,N/A,N/A,N/A,6754.935975,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
glutathione disulfide-posi,7723507.372,8849624.117,7683179.832,9796354.95,8313596.467,9756953.809,10601388.19,8844792.82,7907275.468,10246857.23,11210007.27,10067932.43,10403600.59,9743437.152,7963618.348,9529739.471,9469992.137,7653434.29,8674274.096,10370918.86,10116363.34,11010339.61,8055860.099,11228470.05,12698166.26
