"Genotype","Treatment","mean","median","var","n","sd","se"
"208","EtOH",10.0990562678063,10.4583333333333,0.430670235851181,117,0.656254703488806,0.0606707687998284
"208","Rapa",12.4533637152778,12.4354166666667,2.59841569533915,96,1.61196020277771,0.164519999269945
"21","EtOH",8.39690721649485,8.5,0.576509793963583,97,0.759282420423115,0.0770934493829982
"21","Rapa",10.7515625,10.4291666666667,1.35823181652047,96,1.16543202998736,0.118946408473543
"217","EtOH",9.92519379844961,9.58333333333333,1.05273648160815,86,1.02602947404456,0.11063960357469
"217","Rapa",11.2848611111111,11.6666666666667,0.884247990792759,90,0.940344612784461,0.0991210253955996
"228","EtOH",9.92601246105919,9.58333333333333,0.358566182233194,107,0.598803959767463,0.0578885637692238
"228","Rapa",11.3662990196078,10.625,2.66502616300233,102,1.63249078496705,0.161640673966719
"229","EtOH",10.6907525510204,10.4645833333333,1.23160787749915,98,1.10977830105799,0.112104537470256
"229","Rapa",11.9498226950355,11.4645833333333,0.792712128469839,94,0.89034382598513,0.0918319538596405
"235","EtOH",9.17544642857143,9.6375,0.414158019626769,112,0.643551101022109,0.0608098631880824
"235","Rapa",10.0507301223242,9.6375,3.19167718993044,109,1.78652657129147,0.171118210922898
"239","EtOH",8.66014150943396,8.5,1.28802447713886,106,1.1349116605,0.110232365086806
"239","Rapa",9.9039397689769,9.6375,0.591043220572057,101,0.768793353621152,0.0764977978439306
"256","EtOH",9.3364098173516,9.46916666666667,0.713088834057373,73,0.84444587396551,0.0988349138339623
"256","Rapa",13.2870833333333,12.4770833333333,7.09598484241453,27,2.6638289814503,0.512654126505152
"26","EtOH",9.99110082304527,9.6375,3.16933192408265,81,1.78026175718141,0.197806861909046
"26","Rapa",10.3945422535211,10.4583333333333,1.2136435225939,71,1.10165490177001,0.130742383108
"28","EtOH",10.0672715053763,9.625,0.660237845386039,62,0.812550210993782,0.103193979990242
"28","Rapa",10.7377415458937,10.4291666666667,1.19732786154921,69,1.09422477651953,0.131729183188888
"287","EtOH",10.6426470588235,10.4583333333333,0.724098833109633,85,0.850939970332592,0.0922973986702215
"287","Rapa",16.3321908602151,15.7083333333333,5.4221643051822,31,2.32855412330961,0.418220666602715
"301","EtOH",9.81578282828283,9.625,0.729517903392904,66,0.854118202237198,0.105134682985964
"301","Rapa",12.3834401709402,12.5541666666667,1.66250318638477,39,1.28938093144918,0.206466188104441
"303","EtOH",8.11808252427184,7.72083333333333,0.348645681303805,103,0.590462260693946,0.0581799753112822
"303","Rapa",11.641091954023,9.55416666666667,19.6682708627411,58,4.43489242966965,0.582329905056509
"307","EtOH",12.2263020833333,11.4645833333333,2.10530018863515,40,1.45096526100219,0.22941775152738
"307","Rapa",11.8097222222222,11.4645833333333,0.35736255787037,3,0.597798091223425,0.345138888888889
"309","EtOH",11.5293439716312,10.4583333333333,5.56098339116399,94,2.35817374066543,0.24322704984919
"309","Rapa",13.1390899122807,12.0364583333333,12.7558554885066,38,3.57153405254753,0.579379329621172
"31","EtOH",9.25980392156863,8.5,2.50548182189543,51,1.58287138514013,0.221646327618955
"31","Rapa",11.4243181818182,11.5833333333333,1.5703920805275,55,1.25315285601059,0.168975096633552
"310","EtOH",11.284375,11.4645833333333,1.69724472424488,104,1.3027834525526,0.127748427818298
"310","Rapa",12.4136904761905,12.5,2.82331280313051,91,1.68027164563665,0.176140328769469
"313","EtOH",9.64472517730496,9.41666666666667,0.927951549491212,47,0.963302418501694,0.140512099084651
"313","Rapa",13.7797839506173,13.4708333333333,11.0583419520616,27,3.32540853912141,0.639975171742408
"315","EtOH",9.44096385542169,9.58333333333333,0.564644655859209,83,0.751428410335415,0.0824799833956962
"315","Rapa",10.572,10.7208333333333,2.07190053854875,50,1.43940978826349,0.203563284437482
"317","EtOH",8.99160984848485,8.5,0.694458160456307,44,0.833341562899816,0.125630967561229
"317","Rapa",10.9876736111111,10.4645833333333,5.27124091641865,36,2.29591831658242,0.382653052763737
"318","EtOH",10.2567567567568,9.625,0.868364600395851,111,0.931860826731036,0.0884483154620297
